channel_name,subscribers,video_num,total_view,vs_index,vv_index,cpi,genres,moods
감성적인야무치,15400,235,9200225,597,39150,391,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
dazzle.,10800,94,1209537,112,12867,1114,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외), New Age, Classic",모든 분위기
melonade,11500,65,7502625,652,115425,4586,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), OST (국내)",모든 분위기
핸드릭스 뮤직,10500,231,216514,21,937,80,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
스윗룩:,9800,124,2289670,234,18465,241,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",
estrella,9920,11,1881966,190,171088,14385,"Pop (국외), Country (국외), Folk (국외), R&B / Soul (국외)",모든 분위기
수율,10900,92,13102120,1202,142414,-,"Dance (국내), R&B / Soul (국내), Rap / Hip-hop (국내)","행복, 로맨틱, 희망, 운동"
블루블 Bluebl,9700,23,5078612,524,220809,2265,"Ballad (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Blues (국내)",모든 분위기
부기,9500,30,7335395,772,244513,10199,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외)",모든 분위기
휴식공간 : Ambience View,12500,94,6416955,513,68265,2061,"Ballad (국내), Dance (국내), Rock (국내), Electronica (국내), OST (국내)",모든 분위기
유월 夏,11400,20,9259380,812,462969,42639,"Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop)",
예원덕,13400,29,2682961,200,92516,4246,"Pop (국외), Rap / Hip-hop (국내), New Age",모든 분위기
플레이리스트캔디,9620,39,6375257,663,163468,260163,"OST (국내), OST (국외), R&B / Soul (국내)",모든 분위기
페이머스 𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭,10000,65,3464897,346,53306,2465,"Electronica (J-Pop), Pop (J-Pop), R&B / Soul (J-Pop), Rap / Hip-hop (J-Pop), Rock (J-Pop), OST (국외), OST (국내)",모든 분위기
감성소녀,12600,87,2912305,231,33475,1507,"Pop (국외), Folk (국외), R&B / Soul (국외)",모든 분위기
콩플리,8650,78,2505701,290,32124,576,"R&B / Soul (국내), R&B / Soul (국내), Folk (국내), Blues (국내)",모든 분위기
Seeds Of Theme,10700,29,877998,82,30276,1673,"New Age, Classic, 뮤직테라피",모든 분위기
귓구녕이감동,12600,361,7032983,558,19482,1581,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내)",
아나바다 살롱,8550,28,9110,1,325,-,"Blues (국내), Dance (국내), R&B / Soul (국내)",모든 분위기
럽유셀ʟᴏᴠᴇ ʏᴏᴜʀ sᴇʟғ,8320,16,2444079,294,152755,8826,"Rap / Hip-hop (국내), R&B / Soul (국내), Folk (국내), Ballad (국내), Rock (국내), Blues (국내)",모든 분위기
종팝,16000,399,5255292,328,13171,462,"Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), CCM (국외), Jazz (국외), OST (국외)",모든 분위기
뮤직하이브 musichive,8420,98,2776846,330,28335,-,"Rap / Hip-hop (국내), Rock (국내), Ballad (국내), R&B / Soul (국내)",모든 분위기
always with you ☽,8480,205,4425238,522,21587,-,"Rap / Hip-hop (국내), Ballad (국내), Rock (국내), Folk (국내), Blues (국내)",모든 분위기
Nanamilk 나나밀크,15300,50,3481623,228,69632,45085,,모든 분위기
디어유스 Dear. Youth,15000,59,2377987,159,40305,1227,"Ballad (국내), Blues (국내), Dance (국내), Folk (국내), R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Jazz (국내), OST (국내), Blues (국외), Country (국외), Electronica (국외), Folk (국외), Pop (국외), EDM (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외), Jazz (국외), OST (국외)",모든 분위기
쥬리졍 JYULIII,9570,36,3313747,346,92049,3165,"R&B / Soul (국내), Rap / Hip-hop (국내), Rock (국내), Electronica (국내), Electronica (국외), Pop (국외), R&B / Soul (국외), Rap / Hip-hop (국외), Rock (국외)",모든 분위기
